article_id,headline,text
021-HZT-1876-02-11-001_Ad_toc_1,," פ וה ———    ות: אוסטריין .     בהפנה בברי' . ממדן: בלב ש-עונננ: גל את נענה  עלם נטו כל שנה ע""פ יפני:."
021-HZT-1876-02-11-001_Ad_toc_2,," מ ציוי  בל BASURGG. 5 ר ר 7 SS לחפץ, איש יהודי: ל ור E מאתי ישראל רוב פרומקין פ מ"
021-HZT-1876-02-11-001_Ad_toc_3,," על הר גבוה וילו כך ממשלה שי?; הריצי בכח קילך מבשרה ושלם, הרימי אל תיראי: ישעיה פ׳ א')"
021-HZT-1876-02-11-001_Ad_toc_4,," וכן הענינים הצפק אבירעלן. ירושלם, ימושעם, המכתג. קאנסטאנטינאפיל, הלשון שונות, מודעה פרזי חבצלת. הערוש והיקונים במדרשים, הרצון החפשי, אובר עלות, סיפורי חכמה ומוקר."
021-HZT-1876-02-11-001_Ar_toc_5, הינתק הפורמא,"  הינתק הפורמא (המשך מגליון 16) באופן האמור יתיקנו ויסודרו גם בתי משפטי ציוויל אשר אליהם יובא המשפט ראשונה. לכל אחד מיושבי על מדין  המשפט הנכוהים והשפלים האלה אשר יבוחרו בדעת כל תושבים בחוק וכט שפט, ינתן מכתב תעודה מאת הממשלה אשר יבטיחהו כי לא תיקח המשרה מעל שכמו בלתי נסיבה כלא משפט, כן נחוץ הוא לעשות גם סדרים על פיהם יוקצב זכר להשוסטים גם אחרי ימלאו ימי עבודתם ויבאו בימים אשי לא יוכלו עבוד עוד ויאלצו לסנת אחור ולהסיר המשרה מעל שכעם״ לפני כי על פי הסדרים החדשים אשר פקדנו כי יעשו בבית משפטנו חנכוה, כל בתי המשפט השונים לאחדים יהיו כל בתי משפטי חוקי הממשלה (ניזאטיא) בציוויל בקרימינאל וכו׳. תחת מקודתם בית המשפט הגבוה יעמידו, לכן נחפוץ כי סדרים והחוקים החדשים אשר פקדנו יעשו גם בכל בתי משפט כנים והגדולים אשר בכל ארצינו, אשר מטרת מוסרותם ותה משפט לכל בני הארץ הוסי בצל ממשלתינו בלי בול, והוקי הצדק והיושר ישלמו בארץ שלטת"" ולמען הסר כל מכשול וכל אבן נגף אשר יעצר כח ד לשמן להרעיון הזה, בהתיסדות בתי המשפט האלה הנותיהם. כן בהתלותם בדעת הממשלה ומקידיד, פקידתנו לאלהות הפעינו האטור הלאה. והוא: וכל הישי בעל ממשלתינו בלי הבדל הישיום לבחור ההשוקקים ובאי בית מועצות המשפט, אם הבני דתות אחרות. אם בבתי המשפט ואם בבתי בית היותר גבוהים הישר בערי בידות המחוז, ולכן סקורות ומיהלהו לכל המחוזות אשר בתונרטה ליסד נת המעשות האלה ילנהלם באורת הזה אשר סקדנו״ בירות המחוזות ימלאו מקום ראש בית משפט האפפעלאציאן אשר בכל עיר בירת המחוז, אך ראשי בתי המשפט רציוויל והקריט נאל אשר בהערים הגדולות והקטנות ובהכפרים אשר בכל מחוז ומחוז יביחרו ע""י התושבים כעצמם מאנשים אשר המשרה חולשתם״. „המשפטים אשר יוחרצו בבתי המשפט הקטנים בערי הטה וזות והכפרים יובאו גם המה לפני הנאאוכים (ראשי בת המשפט) בהערים בידות המחוזות, מפני כי על התיסדות בת⸗ המשפט אדני העבטח לזכיות העם, הטבעו ריב כי יפרץ בין איש מתושבי ארצינו הישמעאלים לבין איש מחוטי בצל ממשלתינו הנוצרים או מיתר הדתות; כן דברי הריבות אשר יהיו בין הנוצרים תושבינו בין איש לרעתי, או ביניהם ובין יתר התושבים מבני דתות אחרות אשר לא כבני דת ישמעאל; כן דברי הריבות אשר יפרצו בין אלה האחרונים לבדם: כולם עד בתי מיטסט חוקי הדת (ניזאמיאי) יגישו משפטם. הוב תחובבו להוציא מהר מכח אל הסועל החוקים והסדרים החדשים אשר נהקקו ואשר נעשו בנוגע לבתי המשפט כסקורתינו אשר פקדנו. ההשנתה על חוקי המשפט בהשכל ודעת ובבינה יתירה בע את המשפטים הנחרצים למעטים בחפין השופט וכרצונו  בלי שים לב להחיקים המגבילים את משפטו, ואך כזאת יבנו בתי המשפט על תלם ולאורך ימים יעמודו. כן נחוץ מאד להשים עין כי לפי המא החיטו ימלונו חוקי המשפט בי, אחרי אשר ירבו לחקור ולדרוש אם הבנעקתה הבאה עליו עשה. חלילה להבין איש אל בית הנאסור בלי משפט, והמנהנים הרעים אשר שרדו עד כה בדבר הזה יסודו כלה וינודשו מקרב הארץ. ולמען היות בטוח בדבר הזה מדנחיץ הוא להודיע ברבים כי כל אלה מהשופטים אשר היודע נאמנה כי- יעשו בדברים האלה בימים יבוזו נגד החוקים המבוערים בפקודותינו, ובאו כמשפט, וענש יענשו בהעונשים היותר קשים המבוארים בחיקי המשפט, וכל אלה אך למען ישלמי הצדק והמשקץ שלטת בנים האיא ומכל מה תאוה הקטר הנה הממב״ ע״ד המסים. „אחד הדברים היותר נכבדים אשר על פירה ישכווי לבטח הישכינו בכרב האיץ ובטוב זכיותיה ישבעו, הוא: לעשות סדרים ישרים בהמס והמכם אשר יורם לאוצר הממשלה. ובאופני גבותם באת תושבי הארין. הן אמנם כל הכנסית אוצר הממשלה נועדו להוצאות בתי מועצות הממשלה ופקידיד ולהיל הצבא, הדרושים לממשלת הארץ, ואשר נחוץ הוא להשתמש בכל האמצעים אשר יעצרו כח להרבות ההכנסית האלה למען תהינה די ההוצאות הדרישית להדעת קרן הארץ ואושר תושביה. אבל נחוץ הוא מאד, וזה גם הפיץ חסד מלכותי להסיר כלה את הכנסית מסים האלה אשר יכבידו למאד אכפם על המון התושבים מבלי הביא תועלת רבה לאוצר הממשלה׳ „מפני כי המסים השונים המוטלים על כל תושבי ארצינו בלי הבדל. המבו אי-סדרים והבדל הלכותם. מותינו חזקה לבקש דרך אשר יסוד כל הבדל ואי סדרים בגבית המכס. ולהיציא מהר את הדבר הזה לפעולת אדם, באופן כי יוסר העול הכבד מהמון תושבי ארצינו בהעשיא סדרים שיבים ומועילים בהמסים ובנביתם. וגם הכנסית אוצר הממשלה לא יצעיו״. „לבד אשר ביטל רבע השם הנוסף על חלק המעקר מתבואור הארץ "", כאשר פקדנו זה לא כביר בחפצנו להיטיב מצב כל תושבי ארצינו, לבד זה נחוץ הוא עוד להשים עין היט כ כי יחדלו המנהגים הרעים והאכזריות אשר נעשה עד כה בגבות מכס המעשר ע""י אלה אשר יחסדו הטכם מאת הממשלה, ולהביט נקוהה כי לא יוכב נזק בבבית המכס לא להמו תושבי אור נו ולא לאוצר ממשלתינו׳. „ימפני כי מכס המעשר אשר מלמו איכרי הארץ לפעמים ליד הממשלה בלתי אמצעות מחברים, נגבה ע""י שוטרי הפאליצייא בערי המחוזות, והטה לא מלאו הסץ הממשלה ויעותו דרכם, ויודע המנהג הזה למנהג רע ומר, כי על כן נפקוד כי הפאליצייא לא תוכל התערב עוד בהיים והלאה בדבר בבית מכס המעשר, ויתר המסים; כי לתושבי הארץ כישמעאלים כבני דת אחרת הרשיום לבחור להם אנשים אשר המה יוסקדו על גבות המכס כחוקי הממשלה המבוארים בדבר הזה. הדברים האלה יפיקו חפץ חסד מלכותי, ומני שים פעם למהר להוציא לפעולת אדם התוקים האלה אשר יטיבו מצב הארץ, ממשלתה. ותושביה חוסי בצלה. המשך יבא אי""ה."
021-HZT-1876-02-11-001_Ad_toc_6,," o 17 מ למה״ר עלה שא- פייאזצער הולכף פהיאים יקבל עשרה ליא:. עכהנים, כלפי מחפים ישובו לבעליה"
021-HZT-1876-02-11-001_Ad_toc_7,," енактъ и утта ичто иточъ, 27575 48 Bien ,Liere in Toix ayce force ,enwoyce de Jerusalem Hare-la st no Crains rien saie A 9"
021-HZT-1876-02-11-001_Ar_toc_8,"יף
ם
ושר
 "," יף  ושר   ביום החמישי שבוע החולה אחד הצהרים (אחרי כלתה מלאכת סדור החבצלת גליון החולף בקר כבוד הציר הנשלח בהעיר הבירה עם מאמר המלך. את הרב הגאון ראשון לציון הי״ו, ומפני כי זה ירחים אחדים אשר רום גאונו יאלץ לשמור את ערשו, הובא השר אל בית הוועד הגדול אשר לעדת הספרדים הי״ו, כעשרים איש מגדולי הספרדים וחכמיה נאספו שמה *) מכס המעשר מתביאות הארץ עלה בפקודת הרוממות לפני שנתים ימים לשנים עשר וחצי לואה, ובשנה הזאת שב למלבו המו""ל. הרראין. לבבכיר והיא נתן בידם את העתק הפיומאן אשר הביא, אשר בחמר הוד אדוננו השולטאן יר״ה שולח אל כל ראשי בני הדתות השונות תושבי תוגרמה היסי בצל ממשלתו יר""ה. תלמידי בית המדרש דודש ציון הובאו אל בית הוועד לכבוד חשר, וישירו שירי זמרה ותודה לכבוד היד השולטאן יר""ה, והחכם בה״ר אליהו בהר״י הי״ו בירך ברכת הנותן תשועה ויברך ברכת מי שכירך גם את פחת עירנו ואת כביר השר הציר מביא הפורסטן גאון עיזנו הרל״צ הי״ו מהר להעריך מכתב תודה להור השולטאן יר""ה בשם כל היהודים תושבי ארץ הקדושה אשר מטוב חסד תור מלכותו ישבעו, המכתב נכתב בשפת קודש, ובכתב נאה ומהורר, באותיות מזהבות, ויותן בידי הציר אשר שב אל העיר הבירה וזה העתק המכתב. ה׳ באוף ישפה טלך: מלך במשפט יעמיד ארץ: ועז מלך משפט אהב, באור פני מלך חיים: מלך כיופיו תחזינה עיננו והמלך ישמח באלהים״ „כי תקדמנו ברכות טוב תשית לראשו עטרת מזד „היים שאל ממך נתת לו אורך ימים עולם ועד טול הדרת פינת יקרת מרפא וארוכה. גולת הכותרת וצניף מליכה. המלך האדיר החסר הרחמן אדונינו ומלכינו. משוש פאירינו, איר עינינו. עטרה לראשינו שולטאן עבד אל עזין ירום הידו ותנשא מלכותו. ירום ונישא כוכב מערכתו. ויאריךְ ימים על ממלכתו. אבייר מאת עבדך חכם באשי בשם כל עבדיך היהודים שבירושלם. כורעים ומשתהוים מול גדולת ממשלתך הרוממה, והאדירה. אלהים יכוננה לנצח ולדור דורים. כפאך אדונינו ושבט מלכותך, ינכה כנשר ובין כוכבים קנך. תכריע קמים תחתיך. ידך בעורף אויביך ועתה אדונינו הואל וקבל רינת ותודת עבדד . המשחרים אור פניך. על אשר רציתנו בחמלתך. ונזרת במאמריך לחיות כל היהודים החוסים בצל כנפי מלכותך הרוממה. חפשים באות החירות, צדק ומשסט ומשרים מבלי תת הפרש לבעלי הדתות כי כולם בני אל חי, וראינו תכלית רצון לב המלך יר""ה להרים דגל האמת, ולהפיק רצון כל חוסי צילו באמת ומשפט וצדקה ועין החנינה״. בשמחת לבינו נקרא ונעתיר מול האלהים בעיר הקדושה הזאת יחי אדונינו המלך לעולם. והרעו לברכה, בני אדונינו הסרתמים, יאריכו ימים ושנים, כן משחך אלהים לעולם, מושל בימים ובארצות, יהי רצון מלפני אלהי השמים לא יעדי שולטאן מבית עוטמאן לעולם. ירושלם יום ח׳ לחודש שבט ש׳ התרל״ו, ונשתחות ובשובה מלפני הדרת מלכינו הודו."
021-HZT-1876-02-11-001_Ar_toc_9,ירושלם," ירושלם ביום הששי שבוע החולף חנכו בני עדת הספרדים ילידי קאנסטאנטינאפיל הבירה. היושבים מחוץ לשערי ירושלם את ביהכנ״ס החדש אשר בנו, ועד עתה שפכו שיח לפני ה בביה אחד היהודים ישביניהם) וכתשואות שמחה הננו את חג חנוכתו ראשי ונכבדי עדת הספרדים הי""ו נאספ ובאו אל הבית. וגם שרים אדרים משרי וגדולי עירנו ושופטי הממשלה ר״ה, תלמידי ביהמ״ד דורש שיון שיו בקול נשים ויוכל את בותנועת הבית. ושירי תודה והלל לה׳. החכם חנו׳ דרך ברכת המלך ויברך את כל המנדבים לבנין הבית הקדוש הזה, ואחרי כן נפרדו הנאספים בשמתה וטוב לבב איש לבתיהם לשלום. י ע'"
021-HZT-1876-02-11-001_Ar_toc_10,"-
-
המכתב."," -  המכתב. של החכם „בערטהאלדאויערבאך- אל הפראפעססאר „ביללראטה"" בוויען בערלין י״ד טבת שנת תרל״ה לפ""ק. בלי ספק נודעה להקוראים המחימה הגדולה אשר היתה ביויען ע״י הספר של הפראפעססאר ביללראטה. הפראפעססאו ביללראטה חבר חבור בשם „ע״ד הלמוד והתלמדות של חכמת הרפואה"", יבו כתב שטנה על היהודים, ויהרף את מערבית ישראל, ויחליט שוכני מהיהודי כל כשרון המעשה. ההכנה האמתית, וכל רגש נעלה, עי״ז פגע מאוד בכבוד התלמידים של בית מדרש הגבוה בוויען יחר אפם בם מאוי ויבואו לפניו ויגישו עצימותיהם, ויודע הדרר כמ״ע ויכוש בילליאפה ממעשיו ויכתוב אשובה להתלמידים להצטדק על אשר עשה, בין כה ובין כה שלח ספרו וגם תשובתו להתלמידים אל הפליסוף הגדול המליץ האשכנזי המרומם והמפואר בכל קצוי חבל פאר דורנו נזר ישראל ה״ה החכם כש""ת בערטהאלד אויערבאך נ״י, והאיש הנעלה הזה הראה עוד הפעם את יקרת רוחו לעיני כל. במקום ימאתה מוצא גדולתו שם אתה מוצא ענותנותו, אף אם דם ונשא הוא למאור בין מצד רוחו — יען הוא המליץ הגדול והנפלא כדורנו — ובין בצד מעמדו ומצבו בהחברה — יען הוא מרואי פני קיסר אשכנז, קורא ספרים הוא לפני הקסרית ודבריו נשמעים בהלאום אשכנזי ובחצר המלכות — בכל זאת הראה לדעת כי צר לו בצרות אחיו היהודים בני אמונתו בכל מקום שהם, ואם כי איש בא בימים הנהו, חגר חנית והרב ויצא לקראת רודף ישראל הוא הפראפעססאר ביללראאה וערך נגדו מכתב גלוי ובו הוכיח על פניו דרכו ועותתו והציל כזה את כנוד ישראל. המכתב יצא לאור בשבוע זה במ״ע הגענענווארט פה בערלין. ואני העתקתיו ללשון הקודש למען יודע לקהל ישור אשר עשה האיש הנעלה אויערבאך למעננו. לממלדר- זה על בהויז. ואלה דברי המכתב: ערלין 31 דעצעמבער 1875 „לא אוכה שיתנוני לאחד ממהרפי ומנאצי היהודים אשו יבו כמו רבו בזמן הזה.... האנשים הגדולים בהיהודים אנשי חשם רוכם ככולם. בעלי נפש יקרה. דורשים את טוב מין האנושי לפי רוח הנוצרי הנעלה והנשגב על כלנו״  כן תתחיל בדף 153 התערה הגדולה לספרך ע״ד הלמוד והתלמדות של חכמת הרפואה"", ושורות אח״ז נכתב: „להיהודי אשר כל כשרון ממנו יהלוך תחסר ג״כ שמחת הראמאנטיק השמחה להיות סופר נפשו על קדוש היצם"", ובדף 154 נכתבו הדברים האלה: „דבר ברור הוא ונודע לכל שבכל הזמנים ובכל העמים ישוו האנשים הנבונים בדעותיהם בדבר השאלות כוללות הנוגעית למין האנושי, אולם גם זה ברור לי כשמש בעהרים, כי כל עוד נשמתי כי ארניש ברגש נמרץ החוג הגדול המפריד בין הרם הנחל בעודקי האשכנזי ובין הדם הנוזל בעורקי היהודי, אני אוניש זאת בתוקף ועוז כאשר הוא ביכולת  המשו זאת נפש הטיימוני לרכוש החיג הנורא המסריד ביני ובין הכנעני', ובסוף ההערה יכתב לאמור: אלה אשר נקראו יהודים אשכנזים המה אנשים אשר עפ״י מקרה מחונכים ומגידלים הם בארץ אשכנז ועפ״י מקרה מדברים דם שפת גרמניה את ום גדול מהם בשאת אשכנז לכתוב שירים ומליצות ודברי דיעה וחכמה והגיון על אופן נאה הנין ויפה. ויתר שאת להם בשפה הוא על הגרמני האפתי. על האשכנזי מלידה מבט ומהריון. לזאת אי אפשר הוא שנו חיל כמו שאי אפשר שנרצה שהיהודים יהיו אשכנזים גמורים. ובדמלחמות של עם אשכנז ירגיש לבם כאשר ירגיש הגרמני האמתי. רגש כזה נמנע הוא לדם, יען תבצר מהם כל הראמאנטיק מימי הביניים כו'. כאשר זה לי ארבעים שנה שאני עובר עבודתי וכולתי לעזוב המלאכה לסתיר דבריך לאנשים אחרים צעירים מטני לימים, המסוגלים יותר ממני לערוך קרב ומלחמה וכיחם עמם וצאת לקראת נשק, או הטוב היה שאעזוב המלחמה ע״י הזמן אשר לאט לאט יפיץ איר ונהרה על כל נעלם. מלבד זאת — אם גם דברי יראו בעיניך כדברי איש נבהל, איש רוחם קדים או אש אשר אין רוש אשכנוי בקר אומר אני לך כי בושתי ונכלמתי מפני ארץ מילדתנו ויאתי שע״י מענה גלויה יודע להעמים שכנינו שרעיון נבזה ונשאס כזה שהודעת. עוד באפשר הוא בארץ אשכנז. או האם אחיצי הוא שאיש בריפנו יהיה במדרגה שפלה כזאת לאמור לדיזראל יהידי אתה עפ״י מקרה. מחינך ומגודל אתה בארין בריטניה, עפ מקרה מדבר אתה שפת אנגלית? אני היאתי לדעת שהאנשים ריבים בארץ מולדתינו יכירו החרפה והכליכה אשר תכסנה אותנו ע״י דבריך והם ימאסו כם. גם אשיג עם כתב ידךְ תשי אך לתלמידי בית מדרש הגבוה בוויען"" ועל מעיל המכתב נכת: להמליץ האשכנזי בערטהאלד אויערבאך בבערלין מאן המחבר"". מנהג נפלא הוא אצל האוסטריים בעסטרייך לכבד אותנו בפני נושא המכתבים, ואתה אם גם איש פרוססיא הנך. אחזת כמנהג המקום שהלכת לשם ויען ששלחת ל ספרך, יש לי המשפט וגם רואה אני אותי כמחוייב לכתוב לך טענה גלויה בדבר נאצותיך אשר נאצת את היהודים בכלל ואת התלמידים היהודים מבית מדרש הגבוה בפרט אם ריכארד וואנגער לבית וואהנפריעד יכתוב מאמרים ארוכים ורחבים למען העלם עי״ז מעיני האנשים שקצרה יו לברוא חדשות מועילות במלאכת הזמרה, אם יהרוב וישכר כ הבא בידו למען העמד גדולתו על הרבות אנשים אחרים. אם יבצא עון אשר חמא בהיהודים יען זמרת מייערבעער ושענדעלזאו; יעמדו לשטן לבריותיו אשר ברא ועיין נצתה המתו כאש בקרני ומפיו תצא להבה להטה מסביב, ויחרפ ויגדת זיגאין בהמת ושנגת רוחו, נחריש; יען הוא בשגעון ינהג, ושנעינו היא מהלתו ובו ימצא ניחם והרוחה. אולם אתה תאמר „שספרך עפ״י חיקי ההגיון נעשה"" ובשפה מדברת גדלות תושביע ותעלה בקסמוך „את קאנט את הקומר האדר במלכת הרעיון והמחשבה המושל הרוחני על עם משכנזי, ובעמיתך הדבר הזה הצנת אותך כעצמך למני כפ משפט ההגיון. עוד בירח סעפטעמבער היינו שניני ביחד בחברת ידידים כנענים. השמש שלחה לנו קרני זהרה הנעימים, שמחים וטובי לב ישכנו והשתעשענו עם מרעינו ומכירנו עד הצהרים אז הכנת החיץ השנון על יתר - יען הקדמתך היא מירת אקטאבער — לירות על לב ידידיך ומיודעיך. פיף יבא אי""ה.   הה"
